,event_type,strength_state
1,shot-on-goal,5v5
2,shot-on-goal,5v5
3,shot-on-goal,5v5
10,missed-shot,5v5
11,shot-on-goal,5v5
13,missed-shot,5v5
14,shot-on-goal,5v5
15,shot-on-goal,5v5
21,missed-shot,5v5
22,missed-shot,5v5
23,shot-on-goal,5v5
34,missed-shot,5v5
35,goal,5v5
39,shot-on-goal,5v5
40,missed-shot,5v5
42,shot-on-goal,5v5
44,missed-shot,5v5
47,shot-on-goal,5v5
51,shot-on-goal,5v4
52,missed-shot,5v4
53,missed-shot,5v4
55,missed-shot,5v4
56,shot-on-goal,5v4
57,goal,5v4
60,shot-on-goal,5v5
65,shot-on-goal,5v5
67,shot-on-goal,5v5
86,shot-on-goal,5v5
89,shot-on-goal,5v5
90,shot-on-goal,5v5
94,shot-on-goal,5v5
97,shot-on-goal,5v5
100,shot-on-goal,5v5
102,missed-shot,5v5
107,shot-on-goal,5v4
111,missed-shot,5v4
115,missed-shot,5v5
117,missed-shot,5v5
119,shot-on-goal,5v5
122,shot-on-goal,5v5
132,shot-on-goal,Other
135,shot-on-goal,5v4
139,missed-shot,5v5
140,shot-on-goal,5v5
142,shot-on-goal,5v5
157,shot-on-goal,5v5
160,missed-shot,5v5
161,shot-on-goal,5v5
163,shot-on-goal,5v5
169,missed-shot,5v5
171,shot-on-goal,5v5
172,shot-on-goal,5v5
175,shot-on-goal,5v5
176,goal,5v5
182,goal,5v4
184,shot-on-goal,5v5
189,shot-on-goal,5v4
191,missed-shot,5v4
192,missed-shot,5v4
193,missed-shot,4v5
198,missed-shot,5v5
199,missed-shot,5v5
201,missed-shot,5v5
203,missed-shot,5v5
207,missed-shot,5v5
212,shot-on-goal,5v5
215,missed-shot,5v5
219,shot-on-goal,5v5
223,shot-on-goal,5v4
225,missed-shot,5v4
228,shot-on-goal,5v4
230,shot-on-goal,5v4
232,missed-shot,5v4
234,shot-on-goal,5v5
238,shot-on-goal,5v5
243,missed-shot,5v5
245,shot-on-goal,5v5
246,shot-on-goal,5v5
248,shot-on-goal,5v5
249,shot-on-goal,5v5
252,missed-shot,5v5
254,shot-on-goal,5v5
256,shot-on-goal,5v5
260,missed-shot,5v5
262,missed-shot,5v5
268,missed-shot,5v5
270,shot-on-goal,5v5
272,shot-on-goal,5v5
273,shot-on-goal,5v5
274,shot-on-goal,5v5
278,shot-on-goal,5v5
280,missed-shot,5v5
281,shot-on-goal,5v5
287,shot-on-goal,5v5
295,shot-on-goal,5v5
298,goal,Other
301,shot-on-goal,5v5
302,goal,5v5
306,shot-on-goal,5v5
310,goal,5v4
313,shot-on-goal,5v5
325,missed-shot,5v5
327,shot-on-goal,5v5
330,missed-shot,5v5
331,shot-on-goal,5v5
333,shot-on-goal,5v5
341,shot-on-goal,5v5
343,missed-shot,5v5
346,shot-on-goal,5v5
353,shot-on-goal,5v4
354,missed-shot,4v5
356,missed-shot,5v4
358,missed-shot,5v5
360,shot-on-goal,5v5
366,shot-on-goal,5v5
368,missed-shot,5v5
369,missed-shot,5v5
370,missed-shot,5v5
374,missed-shot,5v5
380,missed-shot,5v5
381,shot-on-goal,5v5
383,shot-on-goal,5v5
385,shot-on-goal,5v5
386,shot-on-goal,5v5
390,shot-on-goal,5v5
391,shot-on-goal,5v5
393,shot-on-goal,5v5
394,shot-on-goal,5v5
400,missed-shot,5v5
406,shot-on-goal,5v5
410,shot-on-goal,5v5
412,missed-shot,5v5
413,shot-on-goal,5v5
418,shot-on-goal,5v4
419,missed-shot,5v4
420,shot-on-goal,4v5
422,goal,5v4
429,shot-on-goal,5v5
433,goal,5v5
439,missed-shot,5v4
440,goal,5v4
444,shot-on-goal,5v5
446,missed-shot,5v5
451,missed-shot,5v5
456,shot-on-goal,5v5
463,missed-shot,5v5
464,shot-on-goal,5v5
467,missed-shot,5v5
471,missed-shot,5v4
472,shot-on-goal,5v4
473,shot-on-goal,5v4
476,shot-on-goal,5v4
479,goal,Other
481,missed-shot,5v4
482,missed-shot,5v4
485,missed-shot,5v5
486,shot-on-goal,5v5
499,shot-on-goal,5v5
501,shot-on-goal,5v5
503,shot-on-goal,5v5
506,shot-on-goal,5v5
507,missed-shot,5v5
509,missed-shot,5v5
512,shot-on-goal,5v5
513,shot-on-goal,5v5
515,shot-on-goal,5v5
517,shot-on-goal,5v5
522,missed-shot,5v4
524,shot-on-goal,4v5
525,shot-on-goal,4v5
526,shot-on-goal,4v5
528,shot-on-goal,5v4
532,shot-on-goal,5v5
534,shot-on-goal,5v5
536,goal,5v5
538,shot-on-goal,5v5
539,missed-shot,5v5
549,shot-on-goal,4v5
551,shot-on-goal,5v4
553,missed-shot,5v4
554,shot-on-goal,5v4
561,shot-on-goal,5v5
566,missed-shot,5v5
568,shot-on-goal,5v5
570,shot-on-goal,5v5
571,shot-on-goal,5v5
576,shot-on-goal,4v5
594,shot-on-goal,5v5
598,missed-shot,5v5
606,missed-shot,5v5
609,shot-on-goal,5v5
614,shot-on-goal,5v5
615,shot-on-goal,5v5
619,missed-shot,5v4
620,shot-on-goal,5v4
621,shot-on-goal,5v4
622,missed-shot,5v4
625,goal,5v5
627,missed-shot,5v5
630,shot-on-goal,5v5
631,shot-on-goal,5v5
638,missed-shot,5v5
639,shot-on-goal,5v5
641,shot-on-goal,5v5
645,shot-on-goal,5v5
646,shot-on-goal,5v5
649,shot-on-goal,5v5
651,shot-on-goal,5v5
655,shot-on-goal,5v5
659,missed-shot,5v5
662,shot-on-goal,5v5
670,shot-on-goal,5v4
672,shot-on-goal,5v4
673,shot-on-goal,5v4
677,missed-shot,5v4
678,shot-on-goal,4v5
682,missed-shot,5v5
687,shot-on-goal,5v5
689,shot-on-goal,5v5
691,missed-shot,5v5
694,missed-shot,5v5
695,missed-shot,5v5
696,shot-on-goal,5v5
700,missed-shot,5v5
705,shot-on-goal,5v4
709,shot-on-goal,5v5
712,shot-on-goal,5v5
716,shot-on-goal,5v5
721,missed-shot,5v5
722,shot-on-goal,5v5
723,missed-shot,5v5
725,goal,5v5
727,shot-on-goal,5v5
728,goal,5v5
731,shot-on-goal,5v5
732,shot-on-goal,5v5
734,goal,5v5
